code,name,geography,area_sq_km,population,person_per_sq_km
E06000047,County Durham,Unitary Authority,2225.861,512994,230
E06000005,Darlington,Unitary Authority,197.4779,105584,535
E06000001,Hartlepool,Unitary Authority,93.71700000000001,92088,983
E06000002,Middlesbrough,Unitary Authority,53.881800000000005,138368,2568
E06000057,Northumberland,Unitary Authority,5019.897800000001,316278,63
E06000003,Redcar and Cleveland,Unitary Authority,245.06959999999998,135164,552
E06000004,Stockton-on-Tees,Unitary Authority,204.9332,191824,936
E08000037,Gateshead,Metropolitan District,142.3392,200349,1408
E08000021,Newcastle upon Tyne,Metropolitan District,113.4515,279092,2460
E08000022,North Tyneside,Metropolitan District,82.3005,201206,2445
E08000023,South Tyneside,Metropolitan District,64.4205,148164,2300
E08000024,Sunderland,Metropolitan District,137.4364,275330,2003
E06000008,Blackburn with Darwen,Unitary Authority,137.0223,147657,1078
E06000009,Blackpool,Unitary Authority,34.8708,142080,4074
E06000049,Cheshire East,Unitary Authority,1166.3578,370736,318
E06000050,Cheshire West and Chester,Unitary Authority,920.018,329526,358
E06000063,Cumberland,Unitary Authority,3012.2075,274546,91
E06000006,Halton,Unitary Authority,79.0842,125722,1590
E06000007,Warrington,Unitary Authority,180.628,202709,1122
E06000064,Westmorland and Furness,Unitary Authority,3755.7383999999997,225271,60
E08000001,Bolton,Metropolitan District,139.7921,277296,1984
E08000002,Bury,Metropolitan District,99.46,185422,1864
E08000003,Manchester,Metropolitan District,115.6485,502902,4349
E08000004,Oldham,Metropolitan District,142.3448,225157,1582
E08000005,Rochdale,Metropolitan District,158.1283,211929,1340
E08000006,Salford,Metropolitan District,97.1974,234487,2412
E08000007,Stockport,Metropolitan District,126.0404,283253,2247
E08000008,Tameside,Metropolitan District,103.1542,219727,2130
E08000009,Trafford,Metropolitan District,106.04469999999999,227091,2141
E08000010,Wigan,Metropolitan District,188.1709,318122,1691
E07000117,Burnley,Non-metropolitan District,110.6839,87032,786
E07000118,Chorley,Non-metropolitan District,202.7622,107591,531
E07000119,Fylde,Non-metropolitan District,165.6975,76098,459
E07000120,Hyndburn,Non-metropolitan District,73.00659999999999,80549,1103
E07000121,Lancaster,Non-metropolitan District,566.9313999999999,137823,243
E07000122,Pendle,Non-metropolitan District,169.38,89576,529
E07000123,Preston,Non-metropolitan District,142.2842,140054,984
E07000124,Ribble Valley,Non-metropolitan District,583.1764,57292,98
E07000125,Rossendale,Non-metropolitan District,138.0411,68053,493
E07000126,South Ribble,Non-metropolitan District,113.1417,109181,965
E07000127,West Lancashire,Non-metropolitan District,346.6333,110617,319
E07000128,Wyre,Non-metropolitan District,282.16450000000003,107692,382
E08000011,Knowsley,Metropolitan District,86.5001,145903,1687
E08000012,Liverpool,Metropolitan District,111.8358,465656,4164
E08000014,Sefton,Metropolitan District,156.5785,273969,1750
E08000013,St. Helens,Metropolitan District,136.3587,175405,1286
E08000015,Wirral,Metropolitan District,160.9219,319837,1988
E06000011,East Riding of Yorkshire,Unitary Authority,2403.5994,334673,139
E06000010,"Kingston upon Hull, City of",Unitary Authority,71.5837,256123,3578
E06000012,North East Lincolnshire,Unitary Authority,192.62290000000002,159735,829
E06000013,North Lincolnshire,Unitary Authority,846.5402,167516,198
E06000065,North Yorkshire,Unitary Authority,8037.3722,601206,75
E06000014,York,Unitary Authority,271.9312,197783,727
E08000016,Barnsley,Metropolitan District,329.0777,231865,705
E08000017,Doncaster,Metropolitan District,568.0064,302468,533
E08000018,Rotherham,Metropolitan District,286.5344,257716,899
E08000019,Sheffield,Metropolitan District,367.93019999999996,551756,1500
E08000032,Bradford,Metropolitan District,366.41970000000003,523115,1428
E08000033,Calderdale,Metropolitan District,363.9609,204170,561
E08000034,Kirklees,Metropolitan District,408.5516,422970,1035
E08000035,Leeds,Metropolitan District,551.7067,750683,1361
E08000036,Wakefield,Metropolitan District,338.6197,326433,964
E06000015,Derby,Unitary Authority,78.0312,248943,3190
E06000016,Leicester,Unitary Authority,73.3422,329627,4494
E06000061,North Northamptonshire,Unitary Authority,986.5946,317959,322
E06000018,Nottingham,Unitary Authority,74.6134,303899,4073
E06000017,Rutland,Unitary Authority,381.8311,37581,98
E06000062,West Northamptonshire,Unitary Authority,1377.4108999999999,376008,273
E07000032,Amber Valley,Non-metropolitan District,265.4379,122521,462
E07000033,Bolsover,Non-metropolitan District,160.3346,76029,474
E07000034,Chesterfield,Non-metropolitan District,66.03529999999999,103788,1572
E07000035,Derbyshire Dales,Non-metropolitan District,792.4242999999999,71104,90
E07000036,Erewash,Non-metropolitan District,109.6301,112249,1024
E07000037,High Peak,Non-metropolitan District,539.1433999999999,90982,169
E07000038,North East Derbyshire,Non-metropolitan District,275.6237,99100,360
E07000039,South Derbyshire,Non-metropolitan District,338.12690000000003,94915,281
E07000129,Blaby,Non-metropolitan District,130.4687,94132,721
E07000130,Charnwood,Non-metropolitan District,279.0426,165876,594
E07000131,Harborough,Non-metropolitan District,591.7966,85699,145
